id,rating,title,content,author,date,helpful_votes,verified_purchase
14,3,귀가 안 아파요,이어폰이 가벼워서 낀 듯 안 낀 듯 편안합니다. 잠들기 전에도 자주 쓰게 되네요.,정*훈,2025-03-06,12,true
15,2,초기 불량인 것 같아요,왼쪽 이어폰에서 미세한 화이트 노이즈가 들립니다. 교환을 받아야 할 것 같네요.,서*윤,2026-03-25,45,true
16,4,시끄러운 카페에서도 조용합니다,노캔 켜는 순간 나만의 공간이 생기는 기분입니다. 적응형 노캔도 잘 작동하네요.,오*석,2026-01-17,17,true
17,4,배터리가 정말 오래가요,케이스 충전 속도도 빠르고 한 번 충전하면 며칠은 잊고 살아도 될 정도예요.,홍*기,2025-03-05,42,true
18,5,깔끔한 해상력,저음부터 고음까지 균형이 잘 잡혀 있습니다. 특히 공간 음향 기능은 정말 신세계네요.,황*성,2026-02-08,30,true
19,1,연결이 가끔 끊겨요,사람이 많은 곳에 가면 가끔 소리가 끊깁니다. 펌웨어 업데이트로 해결됐으면 좋겠어요.,이*민,2025-07-24,28,true
20,2,연결이 가끔 끊겨요,두 기기 전환할 때 페어링 속도가 생각보다 느립니다. 멀티포인트 기능이 좀 불안정해요.,정*훈,2026-04-07,32,true
21,5,베이스가 웅장하네요,베이스가 강조된 음악을 들을 때 타격감이 정말 좋습니다. 힙합이나 EDM 듣기에 딱이에요.,최*영,2026-03-18,20,true
22,3,가볍고 좋습니다,제 귀 모양에 딱 맞아서 차음성도 좋고 착용감도 아주 우수합니다.,오*석,2025-11-27,16,true
23,5,운동할 때도 안 빠져요,장시간 착용해도 귀에 압박감이 거의 없습니다. 이어팁 사이즈도 다양해서 좋네요.,서*윤,2025-07-27,28,true
24,3,귀가 안 아파요,이어폰이 가벼워서 낀 듯 안 낀 듯 편안합니다. 잠들기 전에도 자주 쓰게 되네요.,신*호,2025-05-14,16,true
25,4,배터리 성능 대박,장거리 비행 때 썼는데 배터리 걱정 없이 영화 여러 편 봤습니다.,이*민,2026-03-05,50,true
26,4,착용감이 편안해요,운동할 때 땀이 나도 안정적으로 고정되어 있습니다. 러닝할 때 필수템이에요.,정*훈,2026-01-24,47,true
27,5,배터리 성능 대박,출퇴근할 때만 써서 그런지 일주일에 한 번만 충전해도 충분하네요. 배터리 진짜 오래갑니다.,윤*아,2025-08-30,50,true
28,2,통화 품질이 아쉽네요,사람이 많은 곳에 가면 가끔 소리가 끊깁니다. 펌웨어 업데이트로 해결됐으면 좋겠어요.,전*환,2025-05-24,34,true
29,4,세상이 조용해지는 기분,노캔 켜는 순간 나만의 공간이 생기는 기분입니다. 적응형 노캔도 잘 작동하네요.,신*호,2025-08-18,42,true
30,5,노캔 성능 미쳤네요,이 가격에 이 정도 노이즈 캔슬링이라니 놀랍네요. 프리미엄 모델들과 비교해도 손색없어요.,조*현,2025-07-20,33,true
31,2,페어링이 좀 느립니다,두 기기 전환할 때 페어링 속도가 생각보다 느립니다. 멀티포인트 기능이 좀 불안정해요.,최*영,2026-04-24,35,true
32,4,베이스가 웅장하네요,유선 이어폰 못지않은 해상력을 보여줍니다. 악기 소리가 하나하나 선명하게 들려요.,신*호,2025-04-20,36,true
33,5,배터리가 정말 오래가요,노이즈 캔슬링 켜고 6시간 넘게 썼는데도 배터리가 남아요. 전작보다 확실히 개선됐습니다.,강*서,2025-04-15,8,true
34,5,배터리가 정말 오래가요,케이스 충전 속도도 빠르고 한 번 충전하면 며칠은 잊고 살아도 될 정도예요.,강*서,2025-02-09,38,true
35,3,귀가 안 아파요,운동할 때 땀이 나도 안정적으로 고정되어 있습니다. 러닝할 때 필수템이에요.,황*성,2025-10-12,36,true
36,1,페어링이 좀 느립니다,왼쪽 이어폰에서 미세한 화이트 노이즈가 들립니다. 교환을 받아야 할 것 같네요.,임*희,2025-02-17,26,true
37,3,연결이 가끔 끊겨요,왼쪽 이어폰에서 미세한 화이트 노이즈가 들립니다. 교환을 받아야 할 것 같네요.,이*민,2025-02-05,48,true
38,5,베이스가 웅장하네요,보컬의 목소리가 귀 바로 옆에서 들리는 것처럼 생생합니다. 음악 감상이 즐거워졌어요.,임*희,2025-08-13,4,true
39,5,하루 종일 써도 충분합니다,장거리 비행 때 썼는데 배터리 걱정 없이 영화 여러 편 봤습니다.,서*윤,2026-04-19,47,true
40,5,착용감이 편안해요,제 귀 모양에 딱 맞아서 차음성도 좋고 착용감도 아주 우수합니다.,윤*아,2026-03-30,24,true
41,1,페어링이 좀 느립니다,조용한 곳에선 괜찮은데 외부에서 통화하면 상대방이 제 목소리를 잘 못 듣네요.,송*경,2026-02-24,25,true
42,5,시끄러운 카페에서도 조용합니다,카페에서 공부할 때 쓰는데 주변 대화 소리가 완벽하게 차단돼서 너무 만족스럽습니다.,장*우,2026-01-09,39,true
43,3,귀가 안 아파요,장시간 착용해도 귀에 압박감이 거의 없습니다. 이어팁 사이즈도 다양해서 좋네요.,권*주,2025-01-01,5,true
44,4,운동할 때도 안 빠져요,운동할 때 땀이 나도 안정적으로 고정되어 있습니다. 러닝할 때 필수템이에요.,최*영,2025-06-13,4,false
45,5,시끄러운 카페에서도 조용합니다,노캔 켜는 순간 나만의 공간이 생기는 기분입니다. 적응형 노캔도 잘 작동하네요.,황*성,2026-04-03,22,true
46,5,배터리 성능 대박,출퇴근할 때만 써서 그런지 일주일에 한 번만 충전해도 충분하네요. 배터리 진짜 오래갑니다.,홍*기,2026-02-03,10,true
47,4,베이스가 웅장하네요,저음부터 고음까지 균형이 잘 잡혀 있습니다. 특히 공간 음향 기능은 정말 신세계네요.,한*준,2025-07-02,34,true
48,4,귀가 안 아파요,장시간 착용해도 귀에 압박감이 거의 없습니다. 이어팁 사이즈도 다양해서 좋네요.,신*호,2025-06-04,15,true
49,5,음질이 기대 이상입니다,보컬의 목소리가 귀 바로 옆에서 들리는 것처럼 생생합니다. 음악 감상이 즐거워졌어요.,조*현,2025-08-27,16,true
50,4,노이즈 캔슬링이 완벽해요,노캔 켜는 순간 나만의 공간이 생기는 기분입니다. 적응형 노캔도 잘 작동하네요.,서*윤,2025-10-08,32,true
51,4,귀가 안 아파요,제 귀 모양에 딱 맞아서 차음성도 좋고 착용감도 아주 우수합니다.,박*진,2025-01-09,3,true
52,3,운동할 때도 안 빠져요,제 귀 모양에 딱 맞아서 차음성도 좋고 착용감도 아주 우수합니다.,오*석,2025-11-16,17,true
53,4,충전 걱정이 없네요,케이스 충전 속도도 빠르고 한 번 충전하면 며칠은 잊고 살아도 될 정도예요.,장*우,2025-03-17,41,true
54,3,페어링이 좀 느립니다,사람이 많은 곳에 가면 가끔 소리가 끊깁니다. 펌웨어 업데이트로 해결됐으면 좋겠어요.,홍*기,2025-08-20,21,true
55,4,공간 음향이 최고예요,베이스가 강조된 음악을 들을 때 타격감이 정말 좋습니다. 힙합이나 EDM 듣기에 딱이에요.,정*훈,2025-04-27,29,true
56,1,연결이 가끔 끊겨요,두 기기 전환할 때 페어링 속도가 생각보다 느립니다. 멀티포인트 기능이 좀 불안정해요.,안*진,2026-04-10,40,true
57,4,세상이 조용해지는 기분,지하철 소음이 거의 안 들릴 정도로 노캔 성능이 훌륭합니다. 음악에 집중하기 딱 좋아요.,임*희,2026-02-15,4,true
58,4,음질이 기대 이상입니다,저음부터 고음까지 균형이 잘 잡혀 있습니다. 특히 공간 음향 기능은 정말 신세계네요.,한*준,2025-08-26,38,true
59,2,연결이 가끔 끊겨요,왼쪽 이어폰에서 미세한 화이트 노이즈가 들립니다. 교환을 받아야 할 것 같네요.,신*호,2025-09-22,5,true
60,3,연결이 가끔 끊겨요,왼쪽 이어폰에서 미세한 화이트 노이즈가 들립니다. 교환을 받아야 할 것 같네요.,홍*기,2025-05-31,21,true
61,2,통화 품질이 아쉽네요,사람이 많은 곳에 가면 가끔 소리가 끊깁니다. 펌웨어 업데이트로 해결됐으면 좋겠어요.,권*주,2025-10-16,18,true
62,5,하루 종일 써도 충분합니다,노이즈 캔슬링 켜고 6시간 넘게 썼는데도 배터리가 남아요. 전작보다 확실히 개선됐습니다.,정*훈,2026-03-25,8,true
63,4,노캔 성능 미쳤네요,지하철 소음이 거의 안 들릴 정도로 노캔 성능이 훌륭합니다. 음악에 집중하기 딱 좋아요.,조*현,2026-03-03,14,true
64,3,초기 불량인 것 같아요,조용한 곳에선 괜찮은데 외부에서 통화하면 상대방이 제 목소리를 잘 못 듣네요.,임*희,2025-09-03,49,true
65,5,노이즈 캔슬링이 완벽해요,이 가격에 이 정도 노이즈 캔슬링이라니 놀랍네요. 프리미엄 모델들과 비교해도 손색없어요.,한*준,2025-05-01,24,false
66,4,가볍고 좋습니다,제 귀 모양에 딱 맞아서 차음성도 좋고 착용감도 아주 우수합니다.,오*석,2025-05-09,19,true
67,5,깔끔한 해상력,저음부터 고음까지 균형이 잘 잡혀 있습니다. 특히 공간 음향 기능은 정말 신세계네요.,권*주,2025-06-27,32,false
68,4,노캔 성능 미쳤네요,노캔 켜는 순간 나만의 공간이 생기는 기분입니다. 적응형 노캔도 잘 작동하네요.,전*환,2025-01-28,43,false
69,1,통화 품질이 아쉽네요,사람이 많은 곳에 가면 가끔 소리가 끊깁니다. 펌웨어 업데이트로 해결됐으면 좋겠어요.,권*주,2025-01-08,34,true
70,3,가볍고 좋습니다,제 귀 모양에 딱 맞아서 차음성도 좋고 착용감도 아주 우수합니다.,장*우,2025-07-27,30,false
71,1,연결이 가끔 끊겨요,왼쪽 이어폰에서 미세한 화이트 노이즈가 들립니다. 교환을 받아야 할 것 같네요.,신*호,2025-01-03,41,true
72,5,시끄러운 카페에서도 조용합니다,카페에서 공부할 때 쓰는데 주변 대화 소리가 완벽하게 차단돼서 너무 만족스럽습니다.,황*성,2026-04-08,28,true
73,3,페어링이 좀 느립니다,왼쪽 이어폰에서 미세한 화이트 노이즈가 들립니다. 교환을 받아야 할 것 같네요.,한*준,2025-11-07,21,true
74,4,노캔 성능 미쳤네요,카페에서 공부할 때 쓰는데 주변 대화 소리가 완벽하게 차단돼서 너무 만족스럽습니다.,이*민,2025-05-07,40,true
75,5,충전 걱정이 없네요,케이스 충전 속도도 빠르고 한 번 충전하면 며칠은 잊고 살아도 될 정도예요.,이*민,2026-02-23,5,false
76,5,깔끔한 해상력,유선 이어폰 못지않은 해상력을 보여줍니다. 악기 소리가 하나하나 선명하게 들려요.,권*주,2025-07-16,36,true
77,5,베이스가 웅장하네요,보컬의 목소리가 귀 바로 옆에서 들리는 것처럼 생생합니다. 음악 감상이 즐거워졌어요.,권*주,2025-12-20,11,true
78,1,연결이 가끔 끊겨요,조용한 곳에선 괜찮은데 외부에서 통화하면 상대방이 제 목소리를 잘 못 듣네요.,송*경,2025-04-22,44,true
79,4,음질이 기대 이상입니다,유선 이어폰 못지않은 해상력을 보여줍니다. 악기 소리가 하나하나 선명하게 들려요.,최*영,2026-02-13,1,true
80,4,세상이 조용해지는 기분,카페에서 공부할 때 쓰는데 주변 대화 소리가 완벽하게 차단돼서 너무 만족스럽습니다.,윤*아,2026-05-05,42,true
81,3,착용감이 편안해요,장시간 착용해도 귀에 압박감이 거의 없습니다. 이어팁 사이즈도 다양해서 좋네요.,강*서,2025-09-28,23,true
82,5,귀가 안 아파요,이어폰이 가벼워서 낀 듯 안 낀 듯 편안합니다. 잠들기 전에도 자주 쓰게 되네요.,박*진,2025-04-30,33,false
83,3,통화 품질이 아쉽네요,두 기기 전환할 때 페어링 속도가 생각보다 느립니다. 멀티포인트 기능이 좀 불안정해요.,황*성,2025-01-26,30,true
84,2,통화 품질이 아쉽네요,사람이 많은 곳에 가면 가끔 소리가 끊깁니다. 펌웨어 업데이트로 해결됐으면 좋겠어요.,권*주,2025-11-28,1,true
85,1,페어링이 좀 느립니다,왼쪽 이어폰에서 미세한 화이트 노이즈가 들립니다. 교환을 받아야 할 것 같네요.,김*수,2025-08-31,28,true
86,4,세상이 조용해지는 기분,카페에서 공부할 때 쓰는데 주변 대화 소리가 완벽하게 차단돼서 너무 만족스럽습니다.,김*수,2025-08-14,15,true
87,4,하루 종일 써도 충분합니다,출퇴근할 때만 써서 그런지 일주일에 한 번만 충전해도 충분하네요. 배터리 진짜 오래갑니다.,박*진,2025-05-09,24,false
88,4,가볍고 좋습니다,운동할 때 땀이 나도 안정적으로 고정되어 있습니다. 러닝할 때 필수템이에요.,이*민,2025-07-28,45,true
89,5,노이즈 캔슬링이 완벽해요,지하철 소음이 거의 안 들릴 정도로 노캔 성능이 훌륭합니다. 음악에 집중하기 딱 좋아요.,전*환,2025-06-21,32,true
90,4,베이스가 웅장하네요,유선 이어폰 못지않은 해상력을 보여줍니다. 악기 소리가 하나하나 선명하게 들려요.,한*준,2025-03-24,26,true
91,5,배터리가 정말 오래가요,장거리 비행 때 썼는데 배터리 걱정 없이 영화 여러 편 봤습니다.,안*진,2026-05-08,18,true
92,5,노캔 성능 미쳤네요,카페에서 공부할 때 쓰는데 주변 대화 소리가 완벽하게 차단돼서 너무 만족스럽습니다.,강*서,2025-07-28,33,true
93,4,베이스가 웅장하네요,베이스가 강조된 음악을 들을 때 타격감이 정말 좋습니다. 힙합이나 EDM 듣기에 딱이에요.,이*민,2025-10-09,30,true
94,3,가볍고 좋습니다,장시간 착용해도 귀에 압박감이 거의 없습니다. 이어팁 사이즈도 다양해서 좋네요.,강*서,2026-02-06,27,true
95,5,충전 걱정이 없네요,노이즈 캔슬링 켜고 6시간 넘게 썼는데도 배터리가 남아요. 전작보다 확실히 개선됐습니다.,김*수,2025-02-12,24,true
96,1,통화 품질이 아쉽네요,조용한 곳에선 괜찮은데 외부에서 통화하면 상대방이 제 목소리를 잘 못 듣네요.,송*경,2025-11-28,8,false
97,5,공간 음향이 최고예요,보컬의 목소리가 귀 바로 옆에서 들리는 것처럼 생생합니다. 음악 감상이 즐거워졌어요.,서*윤,2026-03-19,50,true
98,4,노캔 성능 미쳤네요,지하철 소음이 거의 안 들릴 정도로 노캔 성능이 훌륭합니다. 음악에 집중하기 딱 좋아요.,한*준,2025-03-31,42,true
99,4,베이스가 웅장하네요,보컬의 목소리가 귀 바로 옆에서 들리는 것처럼 생생합니다. 음악 감상이 즐거워졌어요.,서*윤,2025-03-13,8,true
100,2,통화 품질이 아쉽네요,왼쪽 이어폰에서 미세한 화이트 노이즈가 들립니다. 교환을 받아야 할 것 같네요.,오*석,2025-07-22,18,true
